"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"1012-2628849","1012-2628853","0",""
"1012-2628849","1012-2628855","0",""
"1012-2628849","1012-2628856","0",""
"1012-2628850","1012-2628846","0",""
"1012-2628850","1012-2628847","0",""
"1012-2628850","1012-2628852","0",""
"1012-2628850","1012-2628855","0",""
"1012-2628850","1012-2628856","0",""
"1012-2628852","1012-2628853","0",""
"1012-2628852","1012-2628855","0",""
"1012-2628852","1012-2628856","0",""
"1012-2628853","1012-2628847","0",""
"1012-2628853","1012-2628849","0",""
"1012-2628853","1012-2628855","0",""
"1012-2628853","1012-2628856","0",""
"1012-2628855","1012-2628846","0",""
"1012-2628855","1012-2628847","0",""
"1012-2628855","1012-2628849","0",""
"1012-2628855","1012-2628852","0",""
"1012-2628855","1012-2628853","0",""
"1012-2628856","1012-2628846","0",""
"1012-2628856","1012-2628847","0",""
"1012-2628856","1012-2628848","0",""
"1012-2628856","1012-2628850","0",""
"1012-2628856","1012-2628852","0",""
"1012-2628856","1012-2628853","0",""
"1012-2629048","1012-2629050","0",""
"1012-2629048","1012-2629051","0",""
"1012-2629079","1012-2629080","0",""
"1012-2629080","1012-2629079","0",""
"1012-2629196","1012-2629213","0",""
"1012-2629196","1012-2629214","3",""
"1012-2629196","1012-2629215","3",""
"1012-2629196","1012-2629216","0",""
"1012-2629196","1012-2629217","0",""
"1012-2629197","1012-2629200","0",""
"1012-2629197","1012-2629203","0",""
"1012-2629197","1012-2629226","0",""
"1012-2629200","1012-2629197","0",""
"1012-2629200","1012-2629203","0",""
"1012-2629203","1012-2629197","0",""
"1012-2629203","1012-2629200","0",""
"1012-2629203","1012-2629206","0",""
"1012-2629203","1012-2629207","0",""
"1012-2629203","1012-2629210","0",""
"1012-2629206","1012-2629203","0",""
"1012-2629206","1012-2629207","0",""
"1012-2629206","1012-2629210","0",""
"1012-2629207","1012-2629203","0",""
"1012-2629207","1012-2629206","0",""
"1012-2629207","1012-2629210","0",""
"1012-2629207","1012-2629214","0",""
"1012-2629207","1012-2629215","0",""
"1012-2629210","1012-2629203","0",""
"1012-2629210","1012-2629206","0",""
"1012-2629210","1012-2629207","0",""
"1012-2629210","1012-2629214","0",""
"1012-2629210","1012-2629215","0",""
"1012-2629213","1012-2629196","0",""
"1012-2629213","1012-2629214","3",""
"1012-2629213","1012-2629215","3",""
"1012-2629213","1012-2629217","0",""
"1012-2629214","1012-2629207","0",""
"1012-2629214","1012-2629210","0",""
"1012-2629214","1012-2629215","0",""
"1012-2629214","1012-2629216","3",""
"1012-2629215","1012-2629196","3",""
"1012-2629215","1012-2629207","0",""
"1012-2629215","1012-2629213","3",""
"1012-2629215","1012-2629214","0",""
"1012-2629215","1012-2629216","3",""
"1012-2629215","1012-2629217","3",""
"1012-2629216","1012-2629196","0",""
"1012-2629216","1012-2629214","3",""
"1012-2629216","1012-2629215","3",""
"1012-2629216","1012-2629217","0",""
"1012-2629216","1012-2629220","0",""
"1012-2629216","1012-2629223","0",""
"1012-2629217","1012-2629214","3",""
"1012-2629217","1012-2629215","3",""
"1012-2629217","1012-2629216","0",""
"1012-2629217","1012-2629220","0",""
"1012-2629217","1012-2629223","0",""
"1012-2629220","1012-2629216","0",""
"1012-2629220","1012-2629223","0",""
"1012-2629220","1012-2629226","0",""
"1012-2629220","1012-2629229","0",""
"1012-2629223","1012-2629216","0",""
"1012-2629223","1012-2629217","0",""
"1012-2629223","1012-2629220","0",""
"1012-2629223","1012-2629229","0",""
"1012-2629226","1012-2629197","0",""
"1012-2629226","1012-2629220","0",""
"1012-2629226","1012-2629229","0",""
"1012-2629229","1012-2629220","0",""
"1012-2629229","1012-2629223","0",""
"1012-2629229","1012-2629226","0",""
"1012-2629236","1012-2629235","0",""
"1012-2629237","1012-2629239","0",""
"1012-2629237","1012-2629240","0",""
"1012-2629252","1012-2629253","0",""
"1012-2629253","1012-2629252","0",""
"1012-2629396","1012-2629395","0",""
