"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"1012-2510181","1012-2510159","0",""
"1012-2510181","1012-2510160","0",""
"1012-2510181","1012-2510161","0",""
"1012-2510181","1012-2510174","0",""
"1012-2510181","1012-2510175","0",""
"1012-2510181","1012-2510176","0",""
"1012-2510181","1012-2510177","0",""
"1012-2510181","1012-2510182","0",""
"1012-2510181","1012-2510183","0",""
"1012-2510181","1012-2510184","0",""
"1012-2510181","1012-2510185","0",""
"1012-2510182","1012-2510160","0",""
"1012-2510182","1012-2510174","0",""
"1012-2510182","1012-2510175","0",""
"1012-2510182","1012-2510176","0",""
"1012-2510182","1012-2510177","0",""
"1012-2510182","1012-2510181","0",""
"1012-2510182","1012-2510183","0",""
"1012-2510182","1012-2510184","0",""
"1012-2510183","1012-2510156","0",""
"1012-2510183","1012-2510157","0",""
"1012-2510183","1012-2510158","0",""
"1012-2510183","1012-2510160","0",""
"1012-2510183","1012-2510161","0",""
"1012-2510183","1012-2510174","0",""
"1012-2510183","1012-2510175","0",""
"1012-2510183","1012-2510176","0",""
"1012-2510183","1012-2510177","0",""
"1012-2510183","1012-2510178","0",""
"1012-2510183","1012-2510179","0",""
"1012-2510183","1012-2510180","0",""
"1012-2510183","1012-2510181","0",""
"1012-2510183","1012-2510182","0",""
"1012-2510184","1012-2510157","0",""
"1012-2510184","1012-2510160","0",""
"1012-2510184","1012-2510161","0",""
"1012-2510184","1012-2510174","0",""
"1012-2510184","1012-2510176","0",""
"1012-2510184","1012-2510177","0",""
"1012-2510184","1012-2510178","0",""
"1012-2510184","1012-2510180","0",""
"1012-2510184","1012-2510181","0",""
"1012-2510184","1012-2510182","0",""
"1012-2510184","1012-2510183","0",""
"1012-2510184","1012-2510185","0",""
"1012-2510185","1012-2510157","0",""
"1012-2510185","1012-2510160","0",""
"1012-2510185","1012-2510161","0",""
"1012-2510185","1012-2510174","0",""
"1012-2510185","1012-2510176","0",""
"1012-2510185","1012-2510177","0",""
"1012-2510185","1012-2510178","0",""
"1012-2510185","1012-2510179","0",""
"1012-2510185","1012-2510180","0",""
"1012-2510185","1012-2510181","0",""
"1012-2510185","1012-2510183","0",""
"1012-2510194","1012-2510195","0",""
"1012-2510194","1012-2510196","3",""
"1012-2510195","1012-2510194","0",""
"1012-2510195","1012-2510196","3",""
"1012-2510195","1012-2510197","3",""
"1012-2510196","1012-2510195","3",""
"1012-2510196","1012-2510197","0",""
"1012-2510197","1012-2510194","3",""
"1012-2510197","1012-2510195","3",""
"1012-2510197","1012-2510196","0",""
"1012-2510200","1012-2510202","0",""
"1012-2510202","1012-2510200","0",""
"1012-2510203","1012-2510204","0",""
"1012-2510204","1012-2510203","0",""
"1012-2510266","1012-2510267","0",""
"1012-2510266","1012-2510269","0",""
"1012-2510267","1012-2510266","0",""
"1012-2510267","1012-2510269","0",""
"1012-2510268","1012-2510266","0",""
"1012-2510268","1012-2510269","0",""
"1012-2510268","1012-2510272","0",""
"1012-2510269","1012-2510266","0",""
"1012-2510269","1012-2510267","0",""
"1012-2510269","1012-2510268","0",""
"1012-2510269","1012-2510272","0",""
"1012-2510269","1012-2510273","0",""
"1012-2510273","1012-2510268","0",""
"1012-2510273","1012-2510269","0",""
